,AAPL,MSFT,AMZN,TSLA,GOOGL
,close,close,close,close,close
2017-05-05,148.96,69.0,934.15,308.35,950.28
2017-05-08,153.01,68.94,949.04,307.19,958.69
2017-05-09,153.99,69.04,952.82,321.26,956.71
2017-05-10,153.26,69.31,948.95,325.22,954.84
2017-05-11,153.95,68.46,947.62,323.1,955.89
2017-05-12,156.1,68.38,961.35,324.81,955.14
2017-05-15,155.7,68.43,957.97,315.88,959.22
2017-05-16,155.47,69.41,966.07,317.01,964.61
2017-05-17,150.25,67.48,944.76,306.11,942.17
2017-05-18,152.54,67.71,958.49,313.06,950.5
2017-05-19,153.06,67.69,959.84,310.83,954.65
2017-05-22,153.99,68.45,970.67,310.35,964.07
2017-05-23,153.8,68.68,971.54,303.86,970.55
2017-05-24,153.34,68.77,980.35,310.22,977.61
2017-05-25,153.87,69.62,993.38,316.83,991.86
2017-05-26,153.61,69.96,995.78,325.14,993.27
2017-05-30,153.67,70.41,996.7,335.1,996.17
2017-05-31,152.76,69.84,994.62,341.01,987.09
2017-06-01,153.18,70.1,995.95,340.37,988.29
2017-06-02,155.45,71.76,1006.73,339.85,996.12
2017-06-05,153.93,72.28,1011.34,347.32,1003.88
2017-06-06,154.45,72.52,1003.0,352.85,996.68
2017-06-07,155.37,72.39,1010.07,359.65,1001.59
2017-06-08,154.99,71.95,1010.27,370.0,1004.28
2017-06-09,148.98,70.32,978.31,357.32,970.12
2017-06-12,145.42,69.78,964.91,359.01,961.81
2017-06-13,146.59,70.65,980.79,375.95,970.5
2017-06-14,145.16,70.27,976.47,380.66,967.93
2017-06-15,144.29,69.9,964.17,375.34,960.18
2017-06-16,142.27,70.0,987.71,371.4,958.62
2017-06-19,146.34,70.87,995.17,369.8,975.22
2017-06-20,145.01,69.91,992.59,372.24,968.99
2017-06-21,145.87,70.27,1002.23,376.4,978.59
2017-06-22,145.63,70.26,1001.3,382.61,976.62
2017-06-23,146.28,71.21,1003.74,383.45,986.09
2017-06-26,145.82,70.53,993.98,377.49,972.09
2017-06-27,143.73,69.21,976.78,362.37,948.09
2017-06-28,145.83,69.8,990.33,371.24,961.01
2017-06-29,143.68,68.49,975.93,360.75,937.82
2017-06-30,144.02,68.93,968.0,361.61,929.68
2017-07-03,143.5,68.17,953.66,352.62,919.46
2017-07-05,144.09,69.08,971.4,327.09,932.26
2017-07-06,142.73,68.57,965.14,308.83,927.69
2017-07-07,144.18,69.46,978.76,313.22,940.81
2017-07-10,145.06,69.98,996.47,316.05,951.0
2017-07-11,145.53,69.99,994.13,327.22,953.53
2017-07-12,145.74,71.15,1006.51,329.52,967.66
2017-07-13,147.77,71.77,1000.63,323.41,968.85
2017-07-14,149.04,72.78,1001.81,327.78,976.91
2017-07-17,149.56,73.35,1010.04,319.57,975.96
2017-07-18,150.08,73.3,1024.45,328.24,986.95
2017-07-19,151.02,73.86,1026.87,325.26,992.77
2017-07-20,150.34,74.22,1028.7,329.92,992.19
2017-07-21,150.27,73.79,1025.67,328.4,993.84
2017-07-24,152.09,73.6,1038.95,342.52,998.31
2017-07-25,152.74,74.19,1039.87,339.6,969.03
2017-07-26,153.46,74.05,1052.8,343.85,965.31
2017-07-27,150.56,73.16,1046.0,334.46,952.51
2017-07-28,149.5,73.04,1020.04,335.07,958.33
2017-07-31,148.73,72.7,987.78,323.47,945.5
2017-08-01,150.05,72.58,996.19,319.57,946.56
2017-08-02,157.14,72.26,995.89,325.89,947.64
2017-08-03,155.57,72.15,986.92,347.09,940.3
2017-08-04,156.39,72.68,987.58,356.91,945.79
2017-08-07,158.81,72.4,992.27,355.17,945.75
2017-08-08,160.08,72.79,989.84,365.22,944.19
2017-08-09,161.06,72.47,982.01,363.53,940.08
2017-08-10,155.32,71.41,956.92,355.4,923.59
2017-08-11,157.48,72.5,967.99,357.87,930.09
2017-08-14,159.85,73.59,983.3,363.8,938.93
2017-08-15,161.6,73.22,982.74,362.33,938.08
2017-08-16,160.95,73.65,978.18,362.91,944.27
2017-08-17,157.86,72.4,960.57,351.92,927.66
2017-08-18,157.5,72.49,958.47,347.46,926.18
2017-08-21,157.21,72.15,953.29,337.86,920.87
2017-08-22,159.78,73.16,966.9,341.35,940.4
2017-08-23,159.98,72.72,958.0,352.77,942.58
2017-08-24,159.27,72.69,952.45,352.93,936.89
2017-08-25,159.86,72.82,945.26,348.05,930.5
2017-08-28,161.47,72.83,946.02,345.66,928.13
2017-08-29,162.91,73.05,954.06,347.36,935.75
2017-08-30,163.35,74.01,967.59,353.18,943.63
2017-08-31,164.0,74.77,980.6,355.9,955.24
2017-09-01,164.05,73.94,978.25,355.4,951.99
2017-09-05,162.08,73.61,965.27,349.59,941.48
2017-09-06,161.91,73.4,967.8,344.53,942.02
2017-09-07,161.26,74.34,979.47,350.61,949.89
2017-09-08,158.63,73.98,965.9,343.4,941.41
2017-09-11,161.5,74.76,977.96,363.69,943.29
2017-09-12,160.86,74.68,982.58,362.75,946.65
2017-09-13,159.65,75.21,999.6,366.23,950.44
2017-09-14,158.28,74.77,992.21,377.64,940.13
2017-09-15,159.88,75.31,986.79,379.81,935.29
2017-09-18,158.67,75.16,974.19,385.0,929.75
2017-09-19,158.73,75.44,969.86,375.1,936.86
2017-09-20,156.07,74.94,973.21,373.91,947.54
2017-09-21,153.39,74.21,964.65,366.48,947.55
2017-09-22,151.89,74.41,955.1,351.09,943.26
2017-09-25,150.55,73.26,939.79,344.99,934.28
2017-09-26,153.14,73.26,938.6,345.25,937.43
2017-09-27,154.23,73.85,950.87,340.97,959.9
2017-09-28,153.28,73.87,956.4,339.6,964.81
2017-09-29,154.12,74.49,961.35,341.1,973.72
2017-10-02,153.81,74.61,959.19,341.53,967.47
2017-10-03,154.48,74.26,957.1,348.14,972.08
2017-10-04,153.48,74.69,965.45,355.01,966.78
2017-10-05,155.39,75.97,980.85,355.33,985.19
2017-10-06,155.3,76.0,989.58,356.88,993.64
2017-10-09,155.84,76.29,990.99,342.94,992.31
2017-10-10,155.9,76.29,987.2,355.59,987.8
2017-10-11,156.55,76.42,995.0,354.6,1005.65
2017-10-12,156.0,77.12,1000.93,355.68,1005.65
2017-10-13,156.99,77.49,1002.94,355.57,1007.87
2017-10-16,159.88,77.65,1006.34,350.6,1009.35
2017-10-17,160.47,77.59,1009.13,355.75,1011.0
2017-10-18,159.76,77.61,997.0,359.65,1012.74
2017-10-19,155.98,77.91,986.61,351.81,1001.84
2017-10-20,156.25,78.81,982.91,345.1,1005.07
2017-10-23,156.17,78.83,966.3,337.02,985.54
2017-10-24,157.1,78.86,975.9,337.34,988.49
2017-10-25,156.41,78.63,972.91,325.84,991.46
2017-10-26,157.41,78.76,972.43,326.17,991.42
2017-10-27,163.05,83.81,1100.95,320.87,1033.67
2017-10-30,166.72,83.89,1110.85,320.08,1033.13
2017-10-31,169.04,83.18,1105.28,331.53,1033.04
2017-11-01,166.89,83.18,1103.68,321.08,1042.595
2017-11-02,168.11,84.05,1094.22,299.26,1042.97
2017-11-03,172.5,84.14,1111.6,306.09,1049.99
2017-11-06,174.25,84.47,1120.66,302.78,1042.68
2017-11-07,174.81,84.27,1123.17,306.05,1052.39
2017-11-08,176.24,84.56,1132.88,304.39,1058.29
2017-11-09,175.88,84.09,1129.13,302.99,1047.72
2017-11-10,174.67,83.87,1125.35,302.99,1044.15
2017-11-13,173.97,83.93,1129.17,315.4,1041.2
2017-11-14,171.34,84.05,1136.84,308.7,1041.64
2017-11-15,169.08,82.98,1126.69,311.3,1036.41
2017-11-16,171.1,83.2,1137.29,312.5,1048.47
2017-11-17,170.15,82.4,1129.88,315.05,1035.89
2017-11-20,169.98,82.53,1126.31,308.74,1034.66
2017-11-21,173.14,83.72,1139.49,317.81,1050.3
2017-11-22,174.96,83.11,1156.16,312.6,1051.92
2017-11-24,174.97,83.26,1186.0,315.55,1056.52
2017-11-27,174.09,83.87,1195.83,316.81,1072.01
2017-11-28,173.07,84.88,1193.6,317.55,1063.29
2017-11-29,169.48,83.34,1161.27,307.54,1037.38
2017-11-30,171.85,84.17,1176.75,308.85,1036.17
2017-12-01,171.05,84.26,1162.35,306.53,1025.07
2017-12-04,169.8,81.08,1133.95,305.2,1011.87
2017-12-05,169.64,81.59,1141.57,303.7,1019.6
2017-12-06,169.01,82.78,1152.35,313.26,1032.72
2017-12-07,169.32,82.49,1159.79,311.24,1044.57
2017-12-08,169.37,84.16,1162.0,315.13,1049.38
2017-12-11,172.67,85.23,1168.92,328.91,1051.97
2017-12-12,171.7,85.58,1165.08,341.03,1048.77
2017-12-13,172.27,85.35,1164.13,339.03,1051.39
2017-12-14,172.22,84.69,1174.26,337.89,1057.47
2017-12-15,173.97,86.85,1179.14,343.45,1072.0
2017-12-18,176.42,86.38,1190.58,338.87,1085.09
2017-12-19,174.54,85.83,1187.38,331.1,1079.78
2017-12-20,174.35,85.52,1177.62,328.98,1073.56
2017-12-21,175.01,85.5,1174.76,331.66,1070.85
2017-12-22,175.01,85.51,1168.36,325.2,1068.86
2017-12-26,170.57,85.4,1176.76,317.29,1065.85
2017-12-27,170.6,85.71,1182.26,311.64,1060.2
2017-12-28,171.08,85.72,1186.1,315.36,1055.95
2017-12-29,169.23,85.54,1169.47,311.35,1053.4
2018-01-02,172.26,85.95,1189.01,320.53,1073.21
2018-01-03,172.23,86.35,1204.2,317.25,1091.52
2018-01-04,173.03,87.11,1209.59,314.62,1095.76
2018-01-05,175.0,88.19,1229.14,316.58,1110.29
2018-01-08,174.35,88.28,1246.87,336.41,1114.21
2018-01-09,174.33,88.22,1252.7,333.69,1112.79
2018-01-10,174.29,87.82,1254.33,334.8,1110.14
2018-01-11,175.28,88.08,1276.68,337.95,1112.05
2018-01-12,177.09,89.6,1305.2,336.22,1130.65
2018-01-16,176.19,88.35,1304.86,340.06,1130.7
2018-01-17,179.1,90.14,1295.0,347.16,1139.1
2018-01-18,179.26,90.1,1293.32,344.57,1135.97
2018-01-19,178.46,90.0,1294.58,350.02,1143.5
2018-01-22,177.0,91.61,1327.31,351.56,1164.16
2018-01-23,177.04,91.9,1362.54,352.79,1176.17
2018-01-24,174.22,91.82,1357.51,345.89,1171.29
2018-01-25,171.11,92.33,1377.95,337.64,1182.14
2018-01-26,171.51,94.06,1402.05,342.85,1187.56
2018-01-29,167.96,93.92,1417.68,349.53,1186.48
2018-01-30,166.97,92.74,1437.82,345.82,1177.37
2018-01-31,167.43,95.01,1450.89,354.31,1182.22
2018-02-01,167.78,94.26,1390.0,349.25,1181.59
2018-02-02,160.5,91.78,1429.95,343.75,1119.2
2018-02-05,156.49,88.0,1390.0,333.13,1062.39
2018-02-06,163.03,91.33,1442.84,333.97,1084.43
2018-02-07,159.54,89.61,1416.78,345.0,1055.41
2018-02-08,155.15,85.01,1350.5,315.23,1007.71
2018-02-09,156.41,88.18,1339.6,310.42,1046.27
2018-02-12,162.71,89.13,1386.23,315.73,1054.56
2018-02-13,164.34,89.83,1414.51,323.66,1054.14
2018-02-14,167.37,90.81,1451.05,322.31,1072.7
2018-02-15,172.99,92.66,1461.76,334.065,1091.36
2018-02-16,172.43,92.0,1448.69,335.49,1095.5
2018-02-20,171.85,92.72,1468.35,334.77,1103.59
2018-02-21,171.07,91.49,1482.92,333.3,1113.75
2018-02-22,172.5,91.73,1485.34,346.17,1109.9
2018-02-23,175.5,94.06,1500.0,352.05,1128.09
2018-02-26,178.97,95.42,1521.95,357.42,1143.7
2018-02-27,178.39,94.2,1511.98,350.99,1117.51
2018-02-28,178.12,93.77,1512.45,343.06,1103.92
2018-03-01,175.0,92.85,1493.45,330.93,1071.41
2018-03-02,176.21,93.05,1500.25,335.12,1084.14
2018-03-05,176.82,93.64,1523.61,333.35,1094.76
2018-03-06,176.67,93.32,1537.64,328.2,1100.9
2018-03-07,175.03,93.86,1545.0,332.3,1115.04
2018-03-08,176.94,94.43,1551.86,329.1,1129.38
2018-03-09,179.98,96.54,1578.89,327.17,1160.84
2018-03-12,181.72,96.77,1598.39,345.51,1165.93
2018-03-13,179.97,94.41,1588.18,341.84,1139.91
2018-03-14,178.44,93.85,1591.0,326.63,1148.89
2018-03-15,178.65,94.18,1582.32,325.6,1150.61
2018-03-16,178.02,94.6,1571.68,321.35,1134.42
2018-03-19,175.3,92.89,1544.93,313.56,1100.07
2018-03-20,175.24,93.13,1586.51,310.55,1095.8
2018-03-21,171.27,92.48,1581.86,316.53,1094.0
2018-03-22,168.85,89.79,1544.92,309.1,1053.15
2018-03-23,164.94,87.18,1495.56,301.54,1026.55
2018-03-26,172.77,93.78,1555.86,304.18,1054.09
2018-03-27,168.34,89.47,1497.05,279.18,1006.94
2018-03-28,166.48,89.39,1431.42,257.78,1005.18
2018-03-29,167.78,91.27,1447.34,266.13,1037.14
2018-04-02,166.68,88.52,1371.99,252.48,1012.63
2018-04-03,168.39,89.71,1392.05,267.53,1018.68
2018-04-04,171.61,92.33,1410.57,286.94,1029.71
2018-04-05,172.8,92.38,1451.75,305.72,1032.64
2018-04-06,168.38,90.23,1405.23,299.3,1009.95
2018-04-09,170.05,90.77,1406.08,289.66,1020.09
2018-04-10,173.25,92.88,1436.22,304.7,1036.5
2018-04-11,172.44,91.86,1427.05,300.93,1025.06
2018-04-12,174.14,93.58,1448.5,294.08,1037.29
2018-04-13,174.73,93.08,1430.79,300.34,1036.04
2018-04-16,175.82,94.17,1441.5,291.21,1046.1
2018-04-17,178.24,96.07,1503.83,287.69,1079.36
2018-04-18,177.84,96.44,1527.84,293.35,1075.39
2018-04-19,172.8,96.11,1556.91,300.08,1089.45
2018-04-20,165.72,95.0,1527.49,290.24,1077.32
2018-04-23,165.24,95.35,1517.86,283.37,1073.81
2018-04-24,162.94,93.12,1460.09,283.46,1022.64
2018-04-25,163.65,92.31,1460.17,280.69,1022.99
2018-04-26,164.22,94.26,1517.96,285.48,1043.31
2018-04-27,162.32,95.82,1572.62,294.075,1031.45
2018-04-30,165.26,93.52,1566.13,293.9,1018.58
2018-05-01,169.1,95.0,1582.26,299.92,1040.75
2018-05-02,176.57,93.51,1569.68,301.15,1026.05
2018-05-03,176.89,94.07,1572.075,284.45,1026.3
2018-05-04,183.83,95.16,1580.95,294.09,1051.0
2018-05-07,185.16,96.22,1600.14,302.77,1059.46
2018-05-08,186.05,95.81,1592.39,301.97,1058.59
2018-05-09,187.36,96.94,1608.0,306.85,1088.95
2018-05-10,190.04,97.91,1609.08,305.02,1105.47
2018-05-11,188.59,97.7,1602.91,301.06,1103.38
2018-05-14,188.15,98.03,1601.54,291.97,1106.6
2018-05-15,186.44,97.32,1576.12,284.18,1084.87
2018-05-16,188.18,97.15,1587.28,286.48,1084.09
2018-05-17,186.99,96.18,1581.76,284.54,1081.26
2018-05-18,186.31,96.36,1574.37,276.82,1069.64
2018-05-21,187.63,97.6,1585.46,284.49,1084.01
2018-05-22,187.16,97.5,1581.4,275.01,1075.31
2018-05-23,188.36,98.66,1601.86,279.07,1085.96
2018-05-24,188.15,98.31,1603.07,277.85,1085.45
2018-05-25,188.58,98.36,1610.15,278.85,1084.08
2018-05-29,187.9,98.01,1612.87,283.76,1068.07
2018-05-30,187.5,98.95,1624.89,291.72,1077.47
2018-05-31,186.87,98.84,1629.62,284.73,1100.0
2018-06-01,190.24,100.79,1641.54,291.82,1135.0
2018-06-04,191.83,101.67,1665.27,296.74,1153.04
2018-06-05,193.31,102.19,1696.35,291.13,1151.02
2018-06-06,193.98,102.49,1695.75,319.5,1146.95
2018-06-07,193.46,100.88,1689.3,316.09,1134.42
2018-06-08,191.7,101.63,1683.99,317.66,1132.71
2018-06-11,191.23,101.05,1689.12,332.1,1140.9
2018-06-12,192.28,101.31,1698.75,342.77,1148.19
2018-06-13,190.7,100.85,1704.86,344.78,1144.23
2018-06-14,190.8,101.42,1723.86,357.72,1160.11
2018-06-15,188.84,100.13,1715.97,358.17,1159.27
2018-06-18,188.74,100.86,1723.79,370.83,1183.58
2018-06-19,185.69,100.86,1734.78,352.55,1178.69
2018-06-20,186.5,101.87,1750.08,362.22,1184.07
2018-06-21,185.46,101.14,1730.22,347.51,1169.44
2018-06-22,184.92,100.41,1715.67,333.63,1169.29
2018-06-25,182.17,98.39,1663.15,333.01,1139.28
2018-06-26,184.43,99.08,1691.09,342.0,1132.62
2018-06-27,184.16,97.54,1660.51,344.5,1116.94
2018-06-28,185.5,98.63,1701.45,349.93,1126.78
2018-06-29,185.11,98.61,1699.8,342.95,1129.19
2018-07-02,187.18,100.01,1713.78,335.07,1142.11
2018-07-03,183.92,99.05,1693.96,310.86,1116.28
2018-07-05,185.4,99.76,1699.73,309.16,1141.29
2018-07-06,187.97,101.16,1710.63,308.9,1155.08
2018-07-09,190.58,101.85,1739.02,318.51,1167.28
2018-07-10,190.35,102.12,1743.07,322.47,1167.14
2018-07-11,187.88,101.98,1755.0,318.96,1171.46
2018-07-12,191.03,104.19,1796.62,316.71,1201.26
2018-07-13,191.33,105.43,1813.03,318.87,1204.42
2018-07-16,190.91,104.91,1822.49,310.1,1196.51
2018-07-17,191.45,105.95,1843.93,322.69,1213.08
2018-07-18,190.4,105.12,1842.92,323.85,1212.91
2018-07-19,191.88,104.4,1812.97,320.23,1199.1
2018-07-20,191.44,106.27,1813.7,313.58,1197.88
2018-07-23,191.61,107.97,1802.0,303.2,1211.0
2018-07-24,193.0,107.66,1829.24,297.43,1258.15
2018-07-25,194.82,110.83,1863.61,308.74,1275.94
2018-07-26,194.21,109.62,1808.0,306.65,1285.5
2018-07-27,190.98,107.68,1817.27,297.18,1252.89
2018-07-30,189.91,105.37,1779.22,290.17,1230.04
2018-07-31,190.29,106.08,1777.44,298.14,1227.22
2018-08-01,201.5,106.28,1797.17,300.84,1232.99
2018-08-02,207.39,107.57,1834.33,349.54,1241.13
2018-08-03,207.99,108.04,1823.29,348.17,1238.16
2018-08-06,209.07,108.13,1847.75,341.99,1237.67
2018-08-07,207.11,108.88,1862.48,379.57,1255.84
2018-08-08,207.25,109.49,1886.52,370.34,1261.33
2018-08-09,208.88,109.67,1898.52,352.45,1264.46
2018-08-10,207.53,109.0,1886.3,355.49,1252.51
2018-08-13,208.87,108.21,1896.2,356.41,1248.64
2018-08-14,209.75,109.56,1919.65,347.64,1258.14
2018-08-15,210.24,107.66,1882.62,338.69,1232.22
2018-08-16,213.32,107.64,1886.52,335.45,1224.06
2018-08-17,217.58,107.58,1882.22,305.5,1215.85
2018-08-20,215.46,106.87,1876.71,308.44,1221.95
2018-08-21,215.04,105.98,1883.42,321.9,1217.41
2018-08-22,215.05,107.06,1904.9,321.64,1221.75
2018-08-23,215.49,107.56,1902.9,320.1,1221.16
2018-08-24,216.16,108.4,1905.39,322.82,1236.75
2018-08-27,217.94,109.6,1927.68,319.27,1256.27
2018-08-28,219.7,110.26,1932.82,311.86,1245.86
2018-08-29,222.98,112.02,1998.1,305.01,1264.65
2018-08-30,225.03,111.95,2002.38,303.15,1254.44
2018-08-31,227.63,112.33,2012.71,301.66,1231.8
2018-09-04,228.36,111.71,2039.51,288.95,1211.31
2018-09-05,226.87,108.49,1994.82,280.74,1199.1
2018-09-06,223.1,108.74,1958.31,280.95,1183.99
2018-09-07,221.3,108.21,1952.07,263.24,1177.59
2018-09-10,218.33,109.38,1939.01,285.5,1175.06
2018-09-11,223.85,111.24,1987.15,279.44,1189.99
2018-09-12,221.07,111.71,1990.0,290.54,1171.6
2018-09-13,226.41,112.91,1989.87,289.46,1182.14
2018-09-14,223.84,113.37,1970.19,295.2,1177.98
2018-09-17,217.88,112.14,1908.03,294.84,1159.83
2018-09-18,218.24,113.21,1941.05,284.96,1167.11
2018-09-19,218.37,111.7,1926.42,299.02,1174.27
2018-09-20,220.03,113.57,1944.3,298.33,1191.57
2018-09-21,217.66,114.26,1915.01,299.1,1172.12
2018-09-24,220.79,114.67,1934.36,299.68,1179.56
2018-09-25,222.19,114.45,1974.55,300.99,1193.89
2018-09-26,220.42,113.98,1974.85,309.58,1194.06
2018-09-27,224.95,114.41,2012.98,307.52,1207.36
2018-09-28,225.74,114.37,2003.0,264.77,1207.08
2018-10-01,227.26,115.61,2004.36,310.7,1208.53
2018-10-02,229.28,115.15,1971.31,301.02,1207.64
2018-10-03,232.07,115.17,1952.76,294.8,1211.53
2018-10-04,227.99,112.79,1909.42,281.83,1177.07
2018-10-05,224.29,112.13,1889.65,261.95,1167.83
2018-10-08,223.77,110.85,1864.42,250.56,1155.92
2018-10-09,226.87,112.26,1870.32,262.8,1145.17
2018-10-10,216.36,106.16,1755.25,256.88,1092.16
2018-10-11,214.45,105.91,1719.36,252.23,1090.74
2018-10-12,222.11,109.57,1788.61,258.78,1120.54
2018-10-15,217.36,107.6,1760.95,259.59,1102.44
2018-10-16,222.15,111.0,1819.96,276.59,1133.08
2018-10-17,221.19,110.71,1831.73,271.78,1127.59
2018-10-18,216.02,108.5,1770.72,263.91,1097.91
2018-10-19,219.31,108.66,1764.03,260.0,1105.18
2018-10-22,220.65,109.63,1789.3,260.95,1111.37
2018-10-23,222.73,108.1,1768.7,294.14,1114.91
2018-10-24,215.09,102.32,1664.2,288.5,1057.12
2018-10-25,219.8,108.3,1782.17,314.86,1103.59
2018-10-26,216.3,106.96,1642.81,330.9,1083.75
2018-10-29,212.24,103.85,1538.88,334.85,1034.73
2018-10-30,213.3,103.73,1530.42,329.9,1049.51
2018-10-31,218.86,106.81,1598.01,337.32,1090.58
2018-11-01,222.22,105.92,1665.53,344.28,1085.98
2018-11-02,207.48,106.16,1665.53,346.41,1071.49
2018-11-05,201.59,107.51,1627.8,341.4,1055.73
2018-11-06,203.77,107.72,1642.81,341.06,1069.57
2018-11-07,209.95,111.96,1755.49,348.16,1108.24
2018-11-08,208.49,111.75,1754.91,351.4,1094.63
2018-11-09,204.47,109.57,1712.43,350.51,1077.02
2018-11-12,194.17,106.87,1636.85,331.28,1049.36
2018-11-13,192.23,106.94,1631.17,338.73,1047.97
2018-11-14,186.8,104.97,1599.01,344.0,1054.58
2018-11-15,191.41,107.28,1619.44,348.44,1071.05
2018-11-16,193.53,108.29,1593.41,354.31,1068.27
2018-11-19,185.86,104.62,1512.29,353.47,1027.42
2018-11-20,176.98,101.71,1495.46,347.49,1030.45
2018-11-21,176.78,103.11,1516.73,338.19,1043.43
2018-11-23,172.29,103.07,1502.06,325.83,1030.1
2018-11-26,174.62,106.47,1581.33,346.0,1055.94
2018-11-27,174.24,107.14,1581.42,343.92,1052.28
2018-11-28,180.94,111.12,1677.75,347.87,1091.79
2018-11-29,179.55,110.19,1673.57,341.17,1094.58
2018-11-30,178.58,110.89,1690.17,350.48,1109.65
2018-12-03,184.82,112.09,1772.36,358.49,1116.36
2018-12-04,176.69,108.52,1668.4,359.7,1062.47
2018-12-06,174.72,109.19,1699.19,363.06,1078.08
2018-12-07,168.49,104.82,1629.13,357.965,1046.58
2018-12-10,169.6,107.59,1641.03,365.15,1053.18
2018-12-11,168.63,108.59,1643.24,366.76,1061.65
2018-12-12,169.1,109.08,1663.54,366.6,1073.73
2018-12-13,170.95,109.45,1658.38,376.79,1073.54
2018-12-14,165.48,106.03,1591.91,365.71,1051.71
2018-12-17,163.94,102.89,1520.91,348.42,1025.65
2018-12-18,166.07,103.97,1551.48,337.03,1043.41
2018-12-19,160.89,103.69,1495.08,332.97,1035.46
2018-12-20,156.83,101.51,1460.83,315.38,1023.58
2018-12-21,150.73,98.23,1377.45,319.77,991.25
2018-12-24,146.83,94.13,1343.96,295.39,984.67
2018-12-26,157.17,100.56,1470.9,326.09,1047.85
2018-12-27,156.15,101.18,1461.64,316.13,1052.9
2018-12-28,156.23,100.39,1478.02,333.87,1046.68
2018-12-31,157.74,101.57,1501.97,332.8,1044.96
2019-01-02,157.92,101.12,1539.13,310.12,1054.68
2019-01-03,142.19,97.4,1500.28,300.36,1025.47
2019-01-04,148.26,101.93,1575.39,317.69,1078.07
2019-01-07,147.93,102.06,1629.51,334.96,1075.92
2019-01-08,150.75,102.8,1656.58,335.35,1085.37
2019-01-09,153.31,104.27,1659.42,338.53,1081.65
2019-01-10,153.8,103.6,1656.22,344.97,1078.83
2019-01-11,152.29,102.8,1640.56,347.26,1064.47
2019-01-14,150.0,102.05,1617.21,334.4,1051.51
