,AAPL,MSFT,AMZN,TSLA,GOOGL
2019-01-15,153.07,105.01,1674.56,344.43,1086.51
2019-01-16,154.94,105.38,1683.78,346.05,1089.51
2019-01-17,155.86,106.12,1693.22,347.31,1099.12
2019-01-18,156.82,107.71,1696.2,302.26,1107.3
2019-01-22,153.3,105.68,1632.17,298.92,1078.63
2019-01-23,153.92,106.71,1640.02,287.59,1084.41
2019-01-24,152.7,106.2,1654.93,291.51,1084.0
2019-01-25,157.76,107.17,1670.57,297.04,1101.51
2019-01-28,156.3,105.08,1637.89,296.38,1079.86
2019-01-29,154.68,102.94,1593.88,297.46,1070.06
2019-01-30,165.25,106.38,1670.43,308.77,1097.99
2019-01-31,166.44,104.43,1718.73,307.02,1125.89
2019-02-01,166.52,102.78,1626.23,312.21,1118.62
2019-02-04,171.25,105.74,1633.31,312.89,1141.42
2019-02-05,174.18,107.22,1658.81,321.35,1151.87
2019-02-06,174.24,106.03,1640.26,317.22,1122.89
2019-02-07,170.94,105.27,1614.37,307.51,1105.91
2019-02-08,170.41,105.67,1588.22,305.8,1102.38
2019-02-11,169.43,105.25,1591.0,312.84,1102.12
2019-02-12,170.89,106.89,1638.01,311.81,1127.58
2019-02-13,170.18,106.81,1640.0,308.17,1128.63
2019-02-14,170.8,106.9,1622.65,303.77,1129.2
2019-02-15,170.42,108.22,1607.95,307.88,1119.63
2019-02-19,170.93,108.17,1627.58,305.64,1126.51
2019-02-20,172.03,107.15,1622.1,302.56,1120.59
2019-02-21,171.06,109.41,1619.44,291.23,1104.21
2019-02-22,172.97,110.97,1631.56,294.71,1116.56
2019-02-25,174.23,111.59,1633.0,298.77,1117.33
2019-02-26,174.33,112.36,1636.4,297.86,1122.01
2019-02-27,174.87,112.17,1641.09,314.74,1122.89
2019-02-28,173.15,112.03,1639.83,319.88,1126.55
2019-03-01,174.97,112.53,1671.73,294.79,1148.52
2019-03-04,175.85,112.26,1696.17,285.36,1153.42
2019-03-05,175.53,111.7,1692.43,276.54,1169.19
2019-03-06,174.52,111.75,1668.95,276.24,1164.94
2019-03-07,172.5,110.39,1625.95,276.59,1150.85
2019-03-08,172.91,110.51,1620.8,284.14,1149.97
2019-03-11,178.9,112.83,1670.62,290.92,1179.26
2019-03-12,180.91,113.62,1673.1,283.36,1197.25
2019-03-13,181.71,114.5,1690.81,288.96,1199.06
2019-03-14,183.73,114.59,1686.22,289.96,1192.53
2019-03-15,186.12,115.91,1712.36,275.43,1190.3
2019-03-18,188.02,117.57,1742.15,269.49,1188.55
2019-03-19,186.53,117.65,1761.85,267.47,1202.46
2019-03-20,188.16,117.52,1797.27,273.6,1226.43
2019-03-21,195.09,120.22,1819.26,274.02,1236.13
2019-03-22,191.05,117.05,1764.77,264.53,1207.65
2019-03-25,188.74,117.66,1774.26,260.42,1197.38
2019-03-26,186.79,117.91,1783.76,267.77,1189.84
2019-03-27,188.47,116.77,1765.7,274.83,1178.01
2019-03-28,188.72,116.93,1773.42,278.62,1172.27
2019-03-29,189.95,117.94,1780.75,279.86,1176.89
2019-04-01,191.24,119.02,1814.19,289.18,1198.98
2019-04-02,194.02,119.19,1813.98,285.88,1205.54
2019-04-03,195.35,119.97,1820.7,291.81,1210.81
2019-04-04,195.69,119.36,1818.86,267.78,1219.45
2019-04-05,197.0,119.89,1837.28,274.96,1211.45
2019-04-08,200.1,119.93,1849.86,273.2,1208.28
2019-04-09,199.5,119.28,1835.84,272.31,1202.69
2019-04-10,200.62,120.19,1847.33,276.06,1206.45
2019-04-11,198.95,120.33,1844.07,268.42,1209.59
2019-04-12,198.87,120.95,1843.06,267.7,1222.73
2019-04-15,199.23,121.05,1844.87,266.38,1226.53
2019-04-16,199.25,120.77,1863.04,273.36,1231.91
2019-04-17,203.13,121.77,1864.82,271.23,1240.14
2019-04-18,203.86,123.37,1861.69,273.26,1241.47
2019-04-22,204.53,123.76,1887.31,262.75,1253.76
2019-04-23,207.48,125.44,1923.77,263.9,1270.59
2019-04-24,207.16,125.01,1901.75,258.66,1260.05
2019-04-25,205.28,129.15,1902.25,247.63,1267.34
2019-04-26,204.3,129.89,1950.63,235.14,1277.42
2019-04-29,204.61,129.77,1938.43,241.47,1296.2
2019-04-30,200.67,130.6,1926.52,238.69,1198.96
2019-05-01,210.52,127.88,1911.52,234.01,1173.32
2019-05-02,209.15,126.21,1900.82,244.1,1166.51
2019-05-03,211.75,128.9,1962.46,255.03,1189.55
2019-05-06,208.48,128.15,1950.55,255.34,1193.46
2019-05-07,202.86,125.52,1921.0,247.06,1178.86
2019-05-08,202.9,125.51,1917.77,244.84,1170.78
2019-05-09,200.72,125.5,1899.87,241.98,1167.97
2019-05-10,197.18,127.13,1889.98,239.52,1167.64
2019-05-13,185.72,123.35,1822.68,227.01,1136.59
2019-05-14,188.66,124.73,1840.12,232.31,1124.86
2019-05-15,190.92,126.02,1871.15,231.95,1170.8
2019-05-16,190.08,128.93,1907.57,228.33,1184.5
2019-05-17,189.0,128.07,1869.0,211.03,1168.78
2019-05-20,183.09,126.22,1858.97,205.36,1144.66
2019-05-21,186.6,126.9,1857.52,205.08,1154.44
2019-05-22,182.78,127.67,1859.68,192.73,1155.85
2019-05-23,179.66,126.18,1815.48,195.49,1145.34
2019-05-24,178.97,126.24,1823.28,190.63,1138.61
2019-05-28,178.23,126.16,1836.43,188.7,1139.56
2019-05-29,177.38,124.94,1819.19,189.86,1119.94
2019-05-30,178.3,125.73,1816.32,188.22,1121.41
2019-05-31,175.07,123.68,1775.07,185.16,1106.5
2019-06-03,173.3,119.84,1692.69,178.97,1038.74
2019-06-04,179.64,123.16,1729.56,193.6,1054.49
2019-06-05,182.54,125.83,1738.5,196.59,1044.64
2019-06-06,185.22,127.82,1754.36,205.95,1047.76
2019-06-07,190.15,131.4,1804.03,204.5,1068.37
2019-06-10,192.58,132.6,1860.63,212.88,1082.76
2019-06-11,194.81,132.1,1863.7,217.1,1081.04
2019-06-12,194.19,131.49,1855.32,209.26,1079.1
2019-06-13,194.15,132.32,1870.3,213.91,1091.01
2019-06-14,192.74,132.45,1869.67,214.92,1086.3
2019-06-17,193.89,132.85,1886.03,225.03,1093.89
2019-06-18,198.45,135.16,1901.37,224.74,1105.24
2019-06-19,197.87,135.69,1908.79,226.43,1104.51
2019-06-20,199.46,136.95,1918.19,219.62,1113.2
2019-06-21,198.78,136.97,1911.3,221.86,1125.37
2019-06-24,198.58,137.78,1913.9,223.64,1116.7
2019-06-25,195.57,133.43,1878.27,219.76,1087.58
2019-06-26,199.8,133.93,1897.83,219.27,1080.32
2019-06-27,199.74,134.15,1904.28,222.84,1076.63
2019-06-28,197.92,133.96,1893.63,223.46,1082.8
2019-07-01,201.55,135.68,1922.19,227.17,1100.0
2019-07-02,202.73,136.58,1934.31,224.55,1112.6
2019-07-03,204.41,137.46,1939.0,234.9,1122.99
2019-07-05,204.23,137.06,1942.91,233.1,1132.665
2019-07-08,200.02,136.96,1952.32,230.34,1116.79
2019-07-09,201.24,136.46,1988.3,230.06,1124.29
2019-07-10,203.23,137.85,2017.41,238.92,1140.91
2019-07-11,201.75,138.4,2001.07,238.6,1144.08
2019-07-12,203.3,138.9,2011.0,245.08,1145.34
2019-07-15,205.21,138.9,2020.99,253.5,1150.51
2019-07-16,204.5,137.08,2009.9,252.38,1153.46
2019-07-17,203.35,136.27,1992.03,254.86,1146.74
2019-07-18,205.66,136.42,1977.9,253.54,1147.24
2019-07-19,202.59,136.62,1964.52,258.18,1131.55
2019-07-22,207.22,138.43,1985.63,255.68,1139.21
2019-07-23,208.84,139.29,1994.49,260.17,1148.05
2019-07-24,208.67,140.72,2000.81,264.88,1139.73
2019-07-25,207.02,140.19,1973.82,228.82,1135.94
2019-07-26,207.74,141.34,1943.05,228.04,1245.22
2019-07-29,209.68,141.03,1912.45,235.77,1241.84
2019-07-30,208.78,140.35,1898.53,242.26,1228.0
2019-07-31,213.04,136.27,1866.78,241.61,1218.2
2019-08-01,208.43,138.06,1855.32,233.85,1211.78
2019-08-02,204.02,136.9,1823.24,234.34,1196.32
2019-08-05,193.34,132.21,1765.13,228.32,1154.75
2019-08-06,197.0,134.69,1787.83,230.75,1171.08
2019-08-07,199.04,135.28,1793.4,233.42,1175.91
2019-08-08,203.43,138.89,1832.89,238.3,1206.19
2019-08-09,200.99,137.71,1807.58,235.01,1188.9
2019-08-12,200.48,135.79,1784.92,229.01,1174.5
2019-08-13,208.97,138.6,1824.34,235.0,1196.73
2019-08-14,202.75,133.98,1762.96,219.62,1164.25
2019-08-15,201.74,133.68,1776.12,215.64,1169.32
2019-08-16,206.5,136.13,1792.57,219.94,1179.21
2019-08-19,210.35,138.41,1816.12,226.83,1200.44
2019-08-20,210.36,137.26,1801.38,225.86,1183.53
2019-08-21,212.64,138.79,1823.54,220.83,1191.58
2019-08-22,212.46,137.78,1805.6,222.15,1191.52
2019-08-23,202.64,133.39,1749.62,211.4,1153.58
2019-08-26,206.49,135.45,1768.87,215.0,1171.18
2019-08-27,204.16,135.74,1761.83,214.08,1170.82
2019-08-28,205.53,135.56,1764.25,215.59,1173.75
2019-08-29,209.01,138.12,1786.4,221.71,1194.24
2019-08-30,208.74,137.86,1776.29,225.61,1190.53
2019-09-03,205.7,136.04,1789.84,225.01,1169.55
2019-09-04,209.19,137.63,1800.62,220.68,1182.27
2019-09-05,213.28,140.05,1840.72,229.58,1212.19
2019-09-06,213.26,139.1,1833.51,227.45,1206.32
2019-09-09,214.17,137.52,1831.35,231.79,1205.27
2019-09-10,216.7,136.08,1820.55,235.54,1205.7
2019-09-11,223.59,136.12,1822.99,247.1,1220.0
2019-09-12,223.085,137.52,1843.55,245.87,1234.97
2019-09-13,218.75,137.32,1839.34,245.2,1240.03
2019-09-16,219.9,136.33,1807.84,242.81,1231.63
2019-09-17,220.7,137.39,1822.55,244.79,1229.88
2019-09-18,222.77,138.52,1817.46,243.49,1232.65
2019-09-19,220.96,141.07,1821.5,246.6,1238.75
2019-09-20,217.73,139.44,1794.16,240.62,1229.84
2019-09-23,218.72,139.14,1785.3,241.23,1234.69
2019-09-24,217.68,137.38,1741.61,223.21,1218.33
2019-09-25,221.03,139.36,1768.33,228.7,1245.94
2019-09-26,219.89,139.54,1739.84,242.56,1242.29
2019-09-27,218.82,137.73,1725.45,242.13,1225.95
2019-09-30,223.97,139.03,1735.91,240.87,1221.14
2019-10-01,224.59,137.07,1735.65,244.69,1206.0
2019-10-02,218.96,134.65,1713.23,243.13,1177.92
2019-10-03,220.82,136.28,1724.42,233.03,1189.43
2019-10-04,227.01,138.12,1739.65,231.43,1210.96
2019-10-07,227.06,137.12,1732.66,237.72,1208.25
2019-10-08,224.4,135.67,1705.51,240.05,1190.13
2019-10-09,227.03,138.24,1721.99,244.53,1202.4
2019-10-10,230.09,139.1,1720.26,244.74,1209.47
2019-10-11,236.21,139.68,1731.92,247.89,1215.71
2019-10-14,235.87,139.55,1736.43,256.96,1217.77
2019-10-15,235.32,141.575,1767.38,257.89,1242.24
2019-10-16,234.37,140.41,1777.43,259.75,1243.0
2019-10-17,235.28,139.69,1787.48,261.97,1252.8
2019-10-18,236.41,137.41,1757.51,256.95,1244.41
2019-10-21,240.51,138.43,1785.66,253.5,1244.28
2019-10-22,239.96,136.37,1765.73,255.58,1241.2
2019-10-23,243.18,137.24,1762.17,254.68,1257.63
2019-10-24,243.58,139.94,1780.78,299.68,1259.11
2019-10-25,246.58,140.73,1761.33,328.13,1264.3
2019-10-28,249.05,144.19,1777.08,327.71,1288.98
2019-10-29,243.29,142.83,1762.71,316.22,1260.66
2019-10-30,243.26,144.61,1779.99,315.01,1260.7
2019-10-31,248.76,143.37,1776.66,314.92,1258.8
2019-11-01,255.82,143.72,1791.44,313.31,1272.25
2019-11-04,257.5,144.55,1804.66,317.47,1289.61
2019-11-05,257.13,144.46,1801.71,317.22,1291.44
2019-11-06,257.24,144.06,1795.77,326.58,1291.01
2019-11-07,259.43,144.26,1788.2,335.54,1306.94
2019-11-08,260.14,145.96,1785.88,337.14,1309.0
2019-11-11,262.2,146.11,1771.65,345.09,1298.28
2019-11-12,261.96,147.07,1778.0,349.93,1297.21
2019-11-13,264.47,147.31,1753.11,346.11,1296.18
2019-11-14,262.64,148.06,1754.6,349.35,1309.15
2019-11-15,265.76,149.97,1739.49,352.17,1333.54
2019-11-18,267.1,150.34,1752.53,349.99,1319.84
2019-11-19,266.29,150.39,1752.79,359.52,1312.59
2019-11-20,263.19,149.62,1745.53,352.22,1301.86
2019-11-21,262.01,149.48,1734.71,354.83,1300.14
2019-11-22,261.78,149.59,1745.72,333.04,1293.67
2019-11-25,266.37,151.23,1773.84,336.34,1305.64
2019-11-26,264.29,152.03,1796.94,328.92,1313.0
2019-11-27,267.84,152.32,1818.51,331.29,1312.13
2019-11-29,267.25,151.38,1800.8,329.94,1304.09
2019-12-02,264.16,149.55,1781.6,334.87,1288.86
2019-12-03,259.45,149.31,1769.96,336.2,1294.74
2019-12-04,261.74,149.85,1760.69,333.03,1318.94
2019-12-05,265.58,149.93,1740.48,330.37,1326.96
2019-12-06,270.71,151.75,1751.6,335.89,1339.39
2019-12-09,266.92,151.36,1749.51,339.53,1342.99
2019-12-10,268.48,151.13,1739.21,348.84,1342.89
2019-12-11,270.77,151.7,1748.72,352.7,1344.25
2019-12-12,271.46,153.24,1760.33,359.68,1348.49
2019-12-13,275.15,154.53,1760.94,358.39,1346.87
2019-12-16,279.86,155.53,1769.21,381.5,1360.7
2019-12-17,280.41,154.69,1790.66,378.99,1354.89
2019-12-18,279.74,154.37,1784.03,393.15,1351.91
2019-12-19,280.02,155.71,1792.28,404.04,1356.44
2019-12-20,279.44,157.41,1786.5,405.59,1351.22
2019-12-23,284.0,157.41,1793.0,419.22,1350.63
2019-12-24,284.27,157.38,1789.21,425.25,1344.43
2019-12-26,289.91,158.67,1868.77,430.94,1362.47
2019-12-27,289.8,158.96,1869.8,430.38,1354.64
2019-12-30,291.52,157.59,1846.89,414.7,1339.71
2019-12-31,293.65,157.7,1847.84,418.33,1339.39
2020-01-02,300.35,160.62,1898.01,430.26,1368.68
2020-01-03,297.43,158.62,1874.97,443.01,1361.52
2020-01-06,299.8,159.03,1902.88,451.54,1397.81
2020-01-07,298.39,157.58,1906.86,469.06,1395.11
2020-01-08,303.19,160.09,1891.97,492.14,1405.04
2020-01-09,309.63,162.09,1901.05,481.34,1419.79
2020-01-10,310.33,161.34,1883.16,478.15,1428.96
2020-01-13,316.96,163.28,1891.3,524.86,1440.03
2020-01-14,312.68,162.13,1869.44,537.92,1430.59
2020-01-15,311.34,163.18,1862.02,518.5,1439.2
2020-01-16,315.24,166.17,1877.94,513.49,1450.16
2020-01-17,318.73,167.1,1864.72,510.5,1479.52
2020-01-21,316.57,166.5,1892.0,547.2,1482.25
2020-01-22,317.7,165.7,1887.46,569.56,1484.17
2020-01-23,319.23,166.72,1884.58,572.2,1484.69
2020-01-24,318.31,165.04,1861.64,564.82,1466.17
2020-01-27,308.95,162.28,1828.34,558.02,1431.73
2020-01-28,317.69,165.46,1853.25,566.9,1450.5
2020-01-29,324.34,168.04,1858.0,580.99,1456.7
2020-01-30,323.87,172.78,1870.68,640.81,1454.25
2020-01-31,309.51,170.23,2008.72,650.57,1432.78
2020-02-03,308.66,174.38,2004.2,780.0,1482.6
2020-02-04,318.85,180.12,2049.67,887.06,1445.41
2020-02-05,321.45,179.9,2039.87,734.7,1446.05
2020-02-06,325.21,183.63,2050.23,748.96,1475.97
2020-02-07,320.03,183.89,2079.28,748.07,1479.11
2020-02-10,321.55,188.7,2133.91,771.28,1508.66
2020-02-11,319.61,184.44,2150.8,774.38,1510.06
2020-02-12,327.2,184.71,2160.0,767.29,1518.63
2020-02-13,324.87,183.71,2149.87,804.0,1513.39
2020-02-14,324.95,185.35,2134.87,800.03,1518.73
2020-02-18,319.0,187.23,2155.67,858.4,1519.44
2020-02-19,323.62,187.28,2170.22,917.42,1524.87
2020-02-20,320.3,184.42,2153.1,899.41,1516.99
2020-02-21,313.05,178.59,2095.97,901.0,1483.46
2020-02-24,298.18,170.89,2009.29,833.79,1419.86
2020-02-25,288.08,168.07,1972.74,799.91,1386.32
2020-02-26,292.65,170.17,1979.59,778.8,1390.47
2020-02-27,273.52,158.18,1884.3,679.0,1314.95
2020-02-28,273.36,162.01,1883.75,667.99,1339.25
2020-03-02,298.81,172.79,1953.95,743.62,1386.32
2020-03-03,289.32,164.51,1908.99,745.51,1337.72
2020-03-04,302.74,170.55,1975.83,749.5,1381.6
2020-03-05,292.92,166.27,1924.03,724.54,1314.76
2020-03-06,289.03,161.57,1901.09,703.48,1295.74
2020-03-09,266.17,150.62,1800.61,608.0,1215.79
2020-03-10,285.34,160.92,1891.82,645.33,1275.17
2020-03-11,275.43,153.63,1820.86,634.23,1210.9
2020-03-12,248.23,139.06,1676.61,560.55,1111.55
2020-03-13,277.97,158.83,1785.0,546.62,1214.27
2020-03-16,242.21,135.42,1689.15,445.07,1073.0
2020-03-17,252.86,146.57,1807.84,430.2,1118.06
2020-03-18,246.67,140.4,1830.0,361.22,1091.19
2020-03-19,244.78,142.71,1880.93,427.64,1111.67
2020-03-20,229.24,137.35,1846.09,427.53,1068.21
2020-03-23,224.37,135.98,1902.83,434.29,1054.13
2020-03-24,246.88,148.34,1940.1,505.0,1130.01
2020-03-25,245.52,146.92,1885.84,539.25,1101.62
2020-03-26,258.44,156.11,1955.49,528.16,1162.92
2020-03-27,247.74,149.7,1900.1,514.36,1110.26
2020-03-30,254.81,160.23,1963.95,502.13,1146.31
2020-03-31,254.29,157.71,1949.72,524.0,1161.95
2020-04-01,240.91,152.11,1907.7,481.56,1102.1
2020-04-02,244.93,155.26,1918.83,454.47,1117.03
2020-04-03,241.41,153.83,1906.59,480.01,1092.7
2020-04-06,262.47,165.27,1997.59,516.24,1183.19
2020-04-07,259.43,163.49,2011.6,545.45,1182.56
2020-04-08,266.07,165.13,2043.0,548.84,1207.0
2020-04-09,267.99,165.14,2042.76,573.0,1206.57
2020-04-13,273.25,165.51,2168.87,650.95,1210.41
2020-04-14,287.05,173.7,2283.32,709.89,1265.23
2020-04-15,284.43,171.88,2307.68,729.83,1257.3
2020-04-16,286.69,177.04,2408.19,745.21,1257.43
2020-04-17,282.8,178.6,2375.0,753.89,1279.0
2020-04-20,276.93,175.06,2393.61,746.36,1261.15
2020-04-21,268.37,167.82,2328.12,686.72,1212.16
2020-04-22,276.1,173.52,2363.49,732.11,1258.41
2020-04-23,275.03,171.42,2399.45,705.63,1271.17
2020-04-24,282.97,174.55,2410.22,725.15,1276.6
2020-04-27,283.17,174.05,2376.0,798.75,1270.86
2020-04-28,278.58,169.81,2314.08,769.12,1232.59
2020-04-29,287.73,177.43,2372.71,800.51,1342.18
2020-04-30,293.8,179.21,2474.0,781.88,1346.7
2020-05-01,289.07,174.57,2286.04,701.32,1317.32
2020-05-04,293.16,178.84,2315.99,761.19,1322.9
2020-05-05,297.56,180.76,2317.8,768.21,1349.02
2020-05-06,300.63,182.54,2351.26,782.58,1345.43
2020-05-07,303.74,183.6,2367.61,780.04,1369.28
2020-05-08,310.13,184.68,2379.61,819.42,1384.34
2020-05-11,315.01,186.74,2409.0,811.29,1403.59
2020-05-12,311.41,182.51,2356.95,809.41,1375.18
2020-05-13,307.65,179.75,2367.92,790.96,1348.33
2020-05-14,309.54,180.53,2388.85,803.33,1356.86
2020-05-15,307.71,183.16,2409.78,799.17,1373.06
2020-05-18,314.96,184.91,2426.26,813.63,1385.18
2020-05-19,313.14,183.63,2449.33,808.01,1374.4
2020-05-20,319.23,185.66,2497.94,815.56,1409.16
2020-05-21,316.85,183.43,2446.74,827.6,1406.75
2020-05-22,318.89,183.51,2436.88,816.88,1413.24
2020-05-26,316.73,181.57,2421.86,818.87,1421.37
2020-05-27,318.11,181.81,2410.39,820.23,1420.28
2020-05-28,318.25,181.4,2401.1,805.81,1418.24
2020-05-29,317.94,183.25,2442.37,835.0,1433.52
2020-06-01,321.85,182.83,2471.04,898.1,1434.87
2020-06-02,323.34,184.91,2472.41,881.56,1442.31
2020-06-03,325.12,185.36,2478.4,882.96,1439.25
2020-06-04,322.32,182.92,2460.6,864.38,1414.3
2020-06-05,331.5,187.2,2483.0,885.66,1440.02
2020-06-08,333.46,188.36,2524.06,949.92,1448.04
2020-06-09,343.99,189.8,2600.86,940.67,1452.08
2020-06-10,352.84,196.84,2647.45,1025.05,1464.7
2020-06-11,335.9,186.27,2557.96,972.84,1401.9
2020-06-12,338.8,187.74,2545.02,935.28,1412.92
2020-06-15,342.99,188.94,2572.68,990.9,1420.74
2020-06-16,352.08,193.57,2615.27,982.13,1446.47
2020-06-17,351.59,194.24,2640.98,991.79,1452.54
2020-06-18,351.73,196.32,2653.98,1003.96,1434.12
2020-06-19,349.72,195.15,2675.01,1000.9,1424.64
2020-06-22,358.87,200.57,2713.82,994.32,1450.66
2020-06-23,366.53,201.91,2764.41,1001.78,1463.98
2020-06-24,360.06,197.84,2734.4,960.85,1432.7
2020-06-25,364.84,200.34,2754.58,985.98,1441.1
2020-06-26,353.63,196.33,2692.87,959.74,1362.54
2020-06-29,361.78,198.44,2680.38,1009.35,1397.17
2020-06-30,364.8,203.51,2758.82,1079.81,1418.05
2020-07-01,364.11,204.7,2878.7,1119.63,1442.0
2020-07-02,364.11,206.26,2890.3,1208.66,1469.93
2020-07-06,373.85,210.7,3057.04,1371.58,1499.65
2020-07-07,372.69,208.25,3000.12,1389.86,1489.92
2020-07-08,381.37,212.83,3081.11,1365.88,1503.6
2020-07-09,382.73,214.32,3182.63,1394.28,1518.66
2020-07-10,383.68,213.67,3200.0,1544.65,1539.01
2020-07-13,381.91,207.07,3104.0,1497.06,1512.23
2020-07-14,388.23,208.35,3084.0,1516.8,1520.86
2020-07-15,390.9,208.04,3008.87,1546.01,1516.88
2020-07-16,386.09,203.92,2999.9,1500.64,1514.92
2020-07-17,385.31,202.88,2961.97,1500.84,1516.85
2020-07-20,393.43,211.6,3196.84,1643.0,1563.84
2020-07-21,388.0,208.75,3138.29,1568.36,1555.92
2020-07-22,389.09,211.75,3099.91,1592.33,1564.85
2020-07-23,371.38,202.54,2986.55,1513.07,1516.75
2020-07-24,370.46,201.3,3008.91,1417.0,1508.21
2020-07-27,379.24,203.85,3055.21,1539.6,1529.43
2020-07-28,373.01,202.02,3000.33,1476.49,1503.65
2020-07-29,380.16,204.06,3033.53,1499.11,1523.51
2020-07-30,384.76,203.9,3051.88,1487.49,1538.37
2020-07-31,425.04,205.01,3164.68,1430.76,1487.95
2020-08-03,435.75,216.54,3111.89,1485.0,1482.76
2020-08-04,438.66,213.29,3138.83,1487.0,1473.3
2020-08-05,440.25,212.94,3205.03,1485.02,1479.09
2020-08-06,455.61,216.35,3225.0,1489.58,1504.95
2020-08-07,444.45,212.48,3167.46,1452.71,1498.37
2020-08-10,450.91,208.25,3148.16,1418.57,1496.82
2020-08-11,437.5,203.38,3080.67,1374.39,1480.54
2020-08-12,452.04,209.19,3162.24,1554.76,1507.24
2020-08-13,460.04,208.7,3161.02,1621.0,1516.65
2020-08-14,459.63,208.9,3148.02,1650.71,1504.63
2020-08-17,458.43,210.28,3182.41,1835.64,1516.24
2020-08-18,462.25,211.49,3312.49,1887.09,1555.78
2020-08-19,462.83,209.7,3260.48,1878.53,1544.61
2020-08-20,473.1,214.58,3297.37,2001.83,1576.25
2020-08-21,497.48,213.02,3284.72,2049.98,1575.57
2020-08-24,503.43,213.69,3307.46,2014.2,1585.15
2020-08-25,499.3,216.47,3346.49,2023.34,1605.85
2020-08-26,506.09,221.15,3441.85,2153.17,1644.13
2020-08-27,500.04,226.58,3400.0,2238.75,1628.52
2020-08-28,499.23,228.91,3401.8,2213.4,1639.43
2020-08-31,129.04,225.53,3450.96,498.32,1629.53
2020-09-01,134.18,227.27,3499.12,475.05,1655.08
2020-09-02,131.4,231.65,3531.45,447.37,1717.39
2020-09-03,120.88,217.3,3368.0,407.0,1629.51
2020-09-04,120.96,214.25,3294.62,418.32,1581.21
2020-09-08,112.82,202.66,3149.84,330.21,1523.6
2020-09-09,117.32,211.29,3268.61,366.28,1547.23
